gene,glioma_mean,rest_mean,diff,cohens_d,t,p,fdr,is_common_essential,pan_ess_fraction,glioma_dep_fraction,neglog_fdr,dependency_score,archetype
SPCS2,-0.8229457740929401,-0.7059438916610011,-0.11700188243193899,-0.5283901338438861,-3.959470576180135,0.00016377739752686363,0.003928467796280719,True,0.8607809847198642,0.9305555555555556,2.4057768026450645,0.4348364277192291,pan-glioma-dep
ELAC2,-1.0493517691063217,-0.9082879522507536,-0.141063816855568,-0.5274707816789357,-4.853338794514471,5.584941506933788e-06,0.0003269928497981233,True,0.9456706281833617,1.0,3.4854617437530786,0.5535023979066855,pan-glioma-dep
GPR61,-0.5242748170260495,-0.4278196795664525,-0.096455137459597,-0.525557654966108,-3.864555083034812,0.00022813476605633846,0.004854230960410166,False,0.3089983022071307,0.5138888888888888,2.313879564129872,0.2755366433939959,pan-glioma-dep
GRB2,-1.1902336095048938,-0.8799294248854346,-0.3103041846194592,-0.5251453443140328,-4.67244275329394,1.144636945425906e-05,0.0005574275731019415,False,0.7147707979626485,0.9305555555555556,3.253811552756102,0.6250456386775816,pan-glioma-dep
ODR4,-0.40816930530767953,-0.3107012899843919,-0.09746801532328764,-0.5240624271668755,-4.81423655996332,6.5155441366428766e-06,0.0003659325666209836,False,0.15534804753820033,0.2777777777777778,3.4365989382192974,0.21390619683455994,subset-dep
ZNHIT3,-0.6695738935208303,-0.5222408315861993,-0.14733306193463103,-0.5239412619010225,-4.045480490169277,0.00012048063417752111,0.0032025683114606353,False,0.5314091680814941,0.6666666666666666,2.494501597891161,0.35081739070728474,pan-glioma-dep
ELAVL1,-0.4151583154344818,-0.29606228664039985,-0.11909602879408193,-0.5232637703408788,-4.423495822191552,2.98947946685767e-05,0.0011228409670486796,False,0.1833616298811545,0.3472222222222222,2.9496817504385517,0.2172373054226148,subset-dep
UBA5,-0.6906754266265946,-0.5203031810984291,-0.17037224552816554,-0.5228857569883267,-4.61198194827244,1.4478680553150327e-05,0.0006584379260915522,False,0.5186757215619694,0.7222222222222222,3.181485161668958,0.3611443432848825,pan-glioma-dep
EGLN1,-0.29289754512434907,-0.13621212007869155,-0.15668542504565752,-0.5203413859882605,-4.077066869794103,0.00010743272015662343,0.0029887649290777415,False,0.11799660441426146,0.2777777777777778,2.5245082415411995,0.15240671458256286,subset-dep
SRF,-0.6270098160287308,-0.483973043296107,-0.14303677273262383,-0.5178841731674905,-4.146626135698131,8.344423318353716e-05,0.0024833669131499197,False,0.4617996604414261,0.7083333333333334,2.6049591094490414,0.3247184601419396,pan-glioma-dep
RPS17,-1.6896297347752383,-1.5451590090417937,-0.14447072573344455,-0.5171409267754683,-3.504214778890089,0.0008365328018137266,0.012531205415798266,True,0.898981324278438,0.8333333333333334,1.9020071508534184,0.8737766869490554,pan-glioma-dep
CCT3,-2.307448773728765,-2.1324969459822594,-0.17495182774650564,-0.5170423321506495,-5.00030366008339,3.0399071949648446e-06,0.00020787395917935174,True,1.0,1.0,3.68219991227054,1.193048695286877,pan-glioma-dep
RAC1,-0.913143622077619,-0.7476243786611431,-0.16551924341647595,-0.5158607770775637,-4.047174067354036,0.00011941311576822125,0.003180686929819383,True,0.797962648556876,0.8888888888888888,2.497479075734846,0.47105497846838174,pan-glioma-dep
EXT1,-0.43159804437413896,-0.29977911586371625,-0.1318189285104227,-0.5152178401433309,-4.163298067195416,7.843824122969397e-05,0.0023778333838768142,False,0.17826825127334464,0.3333333333333333,2.6238185799099285,0.2223670122325294,subset-dep
LSM6,-1.0125081405200842,-0.8917767753189257,-0.12073136520115846,-0.5116503113211609,-4.672382789664983,1.1333801603190608e-05,0.0005547988784774943,True,0.9753820033955858,1.0,3.255864425521478,0.5180501053123108,pan-glioma-dep
E2F3,-0.3556139523351549,-0.21250037431611044,-0.14311357801904448,-0.5066988502174111,-3.472470946452714,0.0008480619579755112,0.01261950003246616,False,0.12563667232597622,0.25,1.8989578509113996,0.18018918076949225,subset-dep
MZT2A,-0.5053556200600281,-0.4226459745515899,-0.08270964550843818,-0.5060249136767848,-3.8926248700614345,0.00023148685552721823,0.0049085790730949526,False,0.26485568760611206,0.4444444444444444,2.309044208492928,0.2557225340169538,pan-glioma-dep
NELFA,-1.0695681417426905,-0.9003918330430868,-0.16917630869960376,-0.505998355301756,-4.876649475557182,4.981902311479841e-06,0.00029751920604157605,True,0.9125636672325976,1.0,3.5264849936038516,0.5411997206049568,pan-glioma-dep
