gene,f_dep_selectivity,f_dep_breadth,f_pan_ess_penalty,f_sl_strength,f_sl_breadth,f_sc_specificity,f_sc_tme_penalty,f_tumor_enrichment,f_tumor_prevalence,f_safety,f_tractability,f_novelty,cat_dependency,cat_selectivity,cat_synthetic_lethality,cat_tumor_specificity,cat_tumor_enrichment,cat_therapeutic_window,cat_tractability,baseline_composite
PSMG4,0.8657243816254417,0.9861111111111112,0.05772495755517837,0.0,0.0,0.8920863309352518,1.0,0.06007067137809187,0.1699346405228758,0.7373380447585394,0.0,1.0,0.9259177463682764,0.05772495755517837,0.0,0.9460431654676259,0.11500265595048384,0.7373380447585394,0.0,0.3974323671571577
PDCL3,0.8621908127208481,0.4722222222222222,0.7716468590831919,0.0,0.0,0.302158273381295,1.0,0.6007067137809188,0.9607843137254902,0.7467608951707891,0.25,1.0,0.6672065174715351,0.7716468590831919,0.0,0.6510791366906474,0.7807455137532044,0.7467608951707891,0.25,0.552491274595624
BRAT1,0.8586572438162544,0.6388888888888888,0.631578947368421,0.0,0.0,0.9316546762589928,1.0,0.7102473498233216,0.9084967320261438,0.4075382803297998,0.0,1.0,0.7487730663525716,0.631578947368421,0.0,0.9658273381294964,0.8093720409247327,0.4075382803297998,0.0,0.5090128104435745
FAM50A,0.8551236749116607,0.6805555555555556,0.5891341256366724,0.0,0.0,0.23741007194244604,1.0,0.17314487632508835,0.4640522875816993,0.1648998822143698,0.25,1.0,0.7678396152336082,0.5891341256366724,0.0,0.6187050359712231,0.31859858195339386,0.1648998822143698,0.25,0.38702532014418106
HAUS3,0.8515901060070671,1.0,0.011884550084889645,0.0,0.0,0.37050359712230213,1.0,0.38869257950530034,0.7254901960784313,0.7314487632508834,0.0,1.0,0.9257950530035335,0.011884550084889645,0.0,0.685251798561151,0.5570913877918658,0.7314487632508834,0.0,0.41592450752747473
KIF18A,0.8480565371024735,0.9722222222222222,0.11460101867572159,0.0,0.0,0.4028776978417266,1.0,0.9858657243816255,0.9934640522875816,0.9587750294464076,0.6,1.0,0.9101393796623478,0.11460101867572159,0.0,0.7014388489208633,0.9896648883346035,0.9587750294464076,0.6,0.610659880719992
SYS1,0.8445229681978799,1.0,0.10526315789473684,0.0,0.0,0.420863309352518,1.0,0.8303886925795053,0.9934640522875816,0.8244994110718492,0.0,1.0,0.9222614840989399,0.10526315789473684,0.0,0.710431654676259,0.9119263724335435,0.8244994110718492,0.0,0.49634029716790407
POP7,0.8409893992932862,0.9583333333333334,0.17572156196943978,0.0,0.0,0.9856115107913669,1.0,0.4664310954063604,0.8888888888888888,0.4452296819787986,0.0,1.0,0.8996613663133097,0.17572156196943978,0.0,0.9928057553956835,0.6776599921476246,0.4452296819787986,0.0,0.4558683368292652
SNRPB2,0.8374558303886925,0.8333333333333334,0.3395585738539898,0.21084051897512956,0.25,0.2158273381294964,1.0,0.8056537102473498,0.9869281045751634,0.6042402826855123,0.25,1.0,0.8353945818610129,0.3395585738539898,0.23042025948756478,0.6079136690647482,0.8962909074112566,0.6042402826855123,0.25,0.537688324909155
SEC62,0.833922261484099,0.3888888888888889,0.7504244482173175,0.0,0.0,0.13309352517985612,0.0,0.12367491166077739,0.5294117647058824,0.1849234393404004,0.0,1.0,0.611405575186494,0.7504244482173175,0.0,0.06654676258992806,0.32654333818332987,0.1849234393404004,0.0,0.27712050907392427
